Date,Time,sensor,status
2023/10/26,15:12:51,103,0.5
2023/10/26,15:12:51,46,1
2023/10/26,15:12:49,42,0.5
2023/10/26,15:12:48,46,0.5
2023/10/26,15:12:48,44,1
2023/10/26,15:12:48,43,1
2023/10/26,15:12:47,31,0.5
2023/10/26,15:12:45,46,1
2023/10/26,15:12:44,42,1
2023/10/26,15:12:43,27,0.5
2023/10/26,15:12:43,104,1
2023/10/26,15:12:41,22,0.5
2023/10/26,15:12:41,31,1
2023/10/26,15:12:41,23,0.5
2023/10/26,15:12:40,21,0.5
2023/10/26,15:12:39,25,0.5
2023/10/26,15:12:39,24,0.5
2023/10/26,15:12:38,27,1
2023/10/26,15:12:37,21,1
2023/10/26,15:12:36,22,1
2023/10/26,15:12:35,25,1
2023/10/26,15:12:35,24,1
2023/10/26,15:12:34,23,1
2023/10/26,15:12:33,21,0.5
2023/10/26,15:12:33,22,0.5
2023/10/26,15:12:31,24,0.5
2023/10/26,15:12:30,23,0.5
2023/10/26,15:12:30,25,0.5
2023/10/26,15:12:28,21,1
2023/10/26,15:12:28,22,1
2023/10/26,15:12:27,23,1
2023/10/26,15:12:25,23,0.5
2023/10/26,15:12:24,25,1
2023/10/26,15:12:24,22,0.5
2023/10/26,15:12:22,21,0.5
2023/10/26,15:12:22,25,0.5
2023/10/26,15:12:20,21,1
2023/10/26,15:12:19,22,1
2023/10/26,15:12:18,23,1
2023/10/26,15:12:17,25,1
2023/10/26,15:12:15,24,1
2023/10/26,15:12:08,101,0.5
2023/10/26,15:12:06,102,0.5
2023/10/26,15:12:03,24,0.5
2023/10/26,15:11:55,41,0.5
2023/10/26,15:11:55,21,0.5
2023/10/26,15:11:54,27,0.5
2023/10/26,15:11:53,24,1
2023/10/26,15:11:52,103,1
2023/10/26,15:11:51,21,1
2023/10/26,15:11:50,41,1
2023/10/26,15:11:49,27,1
2023/10/26,15:11:47,11,0.5
2023/10/26,15:11:44,12,0.5
2023/10/26,15:11:42,12,1
2023/10/26,15:11:26,100,0.5
2023/10/26,15:11:18,101,1
2023/10/26,15:11:16,11,1
2023/10/26,15:11:15,102,1
2023/10/26,15:11:14,1,0.5
2023/10/26,15:11:07,100,1
2023/10/26,15:11:05,1,1
